"319","SAUVAGNAC","16310"
"320","TRIAC LAUTRAIT","16200"
"321","VILLEJESUS","16140"
"322","VITRAC ST VINCENT","16310"
"323","BOUHET","17540"
"324","BAULME LA ROCHE","21410"
"325","BOURBERAIN","21610"
"326","CHAUME LES BAIGNEUX","21450"
"327","CIREY LES PONTAILLER","21270"
"328","CLERY","21270"
"329","CORROMBLES","21460"
"330","COULMIER LE SEC","21400"
"331","FLAGEY ECHEZEAUX","21640"
"332","GISSEY LE VIEIL","21350"
"333","GRIGNON","21150"
"334","IS SUR TILLE","21120"
"335","JAILLY LES MOULINS","21150"
"336","LANTENAY","21370"
"337","MONTBERTHAULT","21460"
"338","POISEUL LA GRANGE","21440"
"339","QUINCY LE VICOMTE","21500"
"340","REULLE VERGY","21220"
"341","RUFFEY LES BEAUNE","21200"
"342","ST MARC SUR SEINE","21450"
"343","SALIVES","21580"
"344","LANDEBIA","22130"
"345","LOCARN","22340"
"346","FREHEL","22240"
"347","PLESSIX BALISSON","22650"
"348","PLOUVARA","22170"
"349","PONT MELVEZ","22390"
"350","ST JACUT DU MENE","22330"
"351","ST HILAIRE EN LIGNIERES","18160"
"352","SAULZAIS LE POTIER","18360"
"353","VEAUGUES","18300"
"354","CHASTEAUX","19600"
"355","CHAUFFOUR SUR VELL","19500"
"356","MASSERET","19510"
"357","PERPEZAC LE NOIR","19410"
"358","LA ROCHE CANILLAC","19320"
"359","ST BAZILE DE LA ROCHE","19320"
"360","ST BONNET LA RIVIERE","19130"
"361","ST JULIEN LE PELERIN","19430"
"362","SARROUX","19110"
"363","TARNAC","19170"
"364","ALISE STE REINE","21150"
"365","BREUILLET","17920"
"366","BURIE","17770"
"367","LA CLISSE","17600"
"368","LA GREVE SUR MIGNON","17170"
"369","L HOUMEAU","17137"
"370","JUICQ","17770"
"371","LANDRAIS","17290"
"372","MIGRE","17330"
"373","PLASSAY","17250"
"374","POUILLAC","17210"
"375","ROUFFIAC","17800"
"376","STE COLOMBE","17210"
"377","ST FELIX","17330"
"378","ST GERMAIN DE LUSIGNAN","17500"
"379","ST GERMAIN DE VIBRAC","17500"
"380","STE MARIE DE RE","17740"
"381","SOUMERAS","17130"
